"","Contribution (%) of environmental descriptors to the model"
"depth","16.567 ± 4.678"
"geomorphology","1.8 ± 0.784"
"ice_cover_min","0.056 ± 0.088"
"ice_cover_max","21.894 ± 3.221"
"ice_thickness_min","0.025 ± 0.058"
"ice_thickness_max","10.222 ± 3.189"
"mixed_layer_depth","2.185 ± 1.024"
"POC_2005_2012_min","7.248 ± 1.956"
"POC_2005_2012_max","23.389 ± 5.33"
"roughness","3.917 ± 1.113"
"sediments","2.366 ± 0.583"
"seafloor_current_speed","3.389 ± 0.965"
"seafloor_sali_2005_2012_max","0.843 ± 0.342"
"seafloor_temp_2005_2012_max","2.628 ± 0.932"
"slope","3.47 ± 1.46"
